what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1430835755269
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1430835755288
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1430835755311
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1430835755318
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1430835755334
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1430835755334
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1430835755349
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1430835755365
os,sysinfo,,,"win32",1430835755365
arch,sysinfo,,,"x86",1430835755365
ws,sysinfo,,,"win32",1430835755365
locale,sysinfo,,,"es_ES",1430835755365
processors,sysinfo,,,"2",1430835755365
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1430835755365
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1430835755365
java.specification.name,sysinfo,,,"Java Platform API Specification",1430835755365
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430835755365
java.specification.version,sysinfo,,,"1.6",1430835755365
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1430835755365
java.version,sysinfo,,,"1.6.0_25",1430835755365
java.vm.info,sysinfo,,,"mixed mode, sharing",1430835755365
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1430835755365
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430835755365
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1430835755365
java.vm.specification.version,sysinfo,,,"1.0",1430835755365
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1430835755365
java.vm.version,sysinfo,,,"20.0-b11",1430835755365
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1430835755687
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1430835755687
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1430835755796
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1430835755859
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1430835756420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430835757465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430835759215
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1430835766012
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1430835766043
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1430835766090
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430835776144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430835784123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1430835784139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1430835784139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430835785062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430835786158
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430835786299
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1430835787568
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1430835787695
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1430835787939
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1430835788040
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1430835788101
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1430835788132
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1430835788210
